date,province_thai,province_eng,region_thai,region_eng,variable,value
2022-01-01,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,ratio_tourist_stay,43.52
2022-01-01,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,ratio_tourist_stay,52.21
2022-01-01,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,ratio_tourist_stay,49.97
2022-01-01,ชลบุรี,Chonburi ,ภาคตะวันออก,east,ratio_tourist_stay,38.52
2022-01-01,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,ratio_tourist_stay,40.22
2022-01-01,ตราด,Trat ,ภาคตะวันออก,east,ratio_tourist_stay,32.53
2022-01-01,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,ratio_tourist_stay,51.85
2022-01-01,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,ratio_tourist_stay,39.79
2022-01-01,ระยอง,Rayong ,ภาคตะวันออก,east,ratio_tourist_stay,34.9
2022-01-01,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,ratio_tourist_stay,29.6
