name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
"One Bed apartmentm,The Seed Mingle condo, Bangkok",Chok,Sathon,13.72075,100.53993,Entire home/apt,1558,21,2,364
NEW River Condo Center BTS temples,Julia,Khlong San,13.72077,100.51202,Entire home/apt,3281,360,2,364
Unique 2 bd-apt right above pool,Tash,Vadhana,13.73332,100.57099,Entire home/apt,2220,21,2,346
SSIP HOME-15minWalkKhaosan-FreeBreakfast-TripleBed,Sirikamol,Dusit,13.77073,100.50478,Private room,7500,1,3,365
Mini chic Apartment -BTS S Taksin,Wimonpak,Sathon,13.71425,100.51332,Entire home/apt,703,1,41,355
Luxury Condo @ The Heart of Bangkok,Marc,Vadhana,13.74283,100.58651,Entire home/apt,1974,180,1,365
2 Bed Serviced Penthouse SkyVillas,Salvatore,Sathon,13.72027,100.52851,Entire home/apt,3757,2,7,144
Contemporary Modern Duplex - Thonglor,Eva,Khlong Toei,13.72242,100.57962,Entire home/apt,1489,30,1,0
Chao Phraya Rumors,Fr,Samphanthawong,13.73989,100.50179,Private room,1732,5,1,365
Master Suite in Pool Villa,Ingo,Vadhana,13.74618,100.55168,Private room,9600,28,2,365
Loft Studio 6 min BTS Sapan Taksin,Wimonpak,Sathon,13.71506,100.51319,Entire home/apt,1100,100,41,365
FABB Modern 4. BTS Sapan Taksin,Wimonpak,Sathon,13.7133,100.51337,Entire home/apt,1100,1,41,167
Great Studio in Great Area 24Sqm.,Yair,Suanluang,13.72383,100.61609,Entire home/apt,1306,28,4,347
City heart resort style condo.,Susie,Phaya Thai,13.78064,100.54393,Entire home/apt,1385,3,1,348
Large cozy Studio in on nut 17,Yair,Suanluang,13.7234,100.61828,Entire home/apt,1212,10,10,365
New & Nice 1 Bed Apt Thonglor BTS,Nulek,Khlong Toei,13.72062,100.58019,Entire home/apt,1732,2,1,347
Bangkok Riverside near Asiatique,Benz,Bang Kho laen,13.7016,100.50262,Entire home/apt,4800,2,2,357
